Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales
33,US-2016-150630,17/09/2016,21/09/2016,sTAndARd cLASs,TB-21520,trAcY BluMsteIN,CoNSuMER,uNitEd stATEs,pHILaDeLpHia,PEnnSyLVAnIA,19140.0,eAST,oFF-bi-10001525,OFfiCe SUPPLieS,BInDERS,"acCo pReSSBoaRD COverS WIth stOrAGe HOoKs, 14 7/8"" X 11"", ExecuTiVe Red",6.858
34,us-2016-150630,17/09/2016,21/09/2016,sTaNDard ClASS,TB-21520,TRacY BLUMsTeIN,COnSumER,UNItED STAtES,PhIladElpHiA,PEnnSylVaNiA,19140.0,eAST,OfF-aR-10001683,oFfice SUpPliES,ARt,luMbeR cRAyOnS, 15.76 
35,CA-2018-107727,19/10/2018,23/10/2018,SEConD clAsS,ma-17560,MaTt AbELMAn,HOMe OffiCe,uNItED sTaTes,HOUSTOn,TEXAs,77095.0,cEntRaL,OfF-PA-10000249,oFFICe suPpLIes,PapER,EaSy-Staple PAper, 29.472 
36,Ca-2017-117590,08/12/2017,10/12/2017,fiRST ClASs,GH-14485,geNE haLE,coRpoRatE,UnIted STatEs,RiCHarDson,tExAs,75080.0,CENTRal,Tec-ph-10004977,TeChnoLogy,PhoNes,gE 30524EE4,1097.544
37,ca-2017-117590,08/12/2017,10/12/2017,FirsT cLasS,Gh-14485,gENe haLE,CoRporaTe,uNiTed StATeS,RIchardSoN,texaS,75080.0,Central,FuR-FU-10003664,fUrnitURe,furnIsHinGs,"elEcTRIx aRcHitect's cLaMP-On SWIng Arm laMp, blAcK", 190.92 
38,CA-2016-117415,27/12/2016,31/12/2016,stANdard cLass,sN-20710,sTEVE NguyEN,HOME OffiCe,UniTeD STatES,HOUsTON,TExAs,77041.0,CenTral,OFf-En-10002986,OfFIcE SuPplies,EnVeLOpES,"#10-4 1/8"" x 9 1/2"" PREmiuM DIaGONaL SEAM eNvelOPES",113.328
39,Ca-2016-117415,27/12/2016,31/12/2016,StaNdarD ClaSs,Sn-20710,STevE NgUYen,hOMe oFFice,unItEd sTATEs,houStON,TexAS,77041.0,cEntRal,fur-bo-10002545,fURNiTUrE,BOokCasEs,"AtlANtIc mETALS MObILE 3-SHelF BoOkCasES, CUStOm COLorS",532.3992
40,CA-2016-117415,27/12/2016,31/12/2016,sTanDArd CLAsS,sn-20710,StevE NGuYeN,HOME oFfIce,uNITED sTAtES,hOustoN,teXas,77041.0,CENTRAl,Fur-ch-10004218,FUrNiTUrE,CHAIrS,"gLobaL FabrIC mAnager'S ChAIr, DaRk GrAY", 212.058 
41,Ca-2016-117415,27/12/2016,31/12/2016,StAndArd clASS,sn-20710,STeVE nguYEN,home oFFICE,UNiTEd StatES,hoUsTon,tEXAs,77041.0,cenTRaL,tEC-Ph-10000486,tECHnOloGy,pHoNes,PlANTRoNICS hL10 handSet LifTer,371.168
42,cA-2018-120999,10/09/2018,15/09/2018,sTaNDaRD claSs,Lc-16930,lindA CazAmiaS,COrpOrATe,unITED STATes,naPerviLLE,ILLinOiS,60540.0,centRAL,tec-ph-10004093,TEChNOlogy,PHOnes,PAnasonIC kX-TS550,147.168
43,CA-2017-101343,17/07/2017,22/07/2017,standard clASs,ra-19885,RUBen ausMaN,coRpoRaTE,unIteD stAtes,lOS AngELEs,cALifornia,90049.0,WesT,OFF-sT-10003479,OfficE sUPplIES,sToRAgE,"ELdOn basE FoR Stackable StOrAGE SheLf, pLATinUM",77.88
44,cA-2018-139619,19/09/2018,23/09/2018,sTANdARd claSs,es-14080,ERIN sMItH,CORpOratE,uNitEd stATeS,MElBOUrne,fLorIDA,32935.0,soutH,OFf-sT-10003282,oFFice sUpPlies,storAgE,"AdVANTuS 10-DRaWer poRTaBLE oRGanizer, CHRoMe mETal FraME, SmoKe dRawERs", 95.616 
45,CA-2017-118255,11/03/2017,13/03/2017,FiRst CLAsS,On-18715,odELlA nelsON,CorPoRAtE,uNITed StaTES,EagAn,MinNEsOTA,55122.0,CENTRAl,tEC-Ac-10000171,technoLogY,aCCeSSORIes,"vErBATIm 25 gb 6X bLU-ray sInGLe lAyeR rEcORDaBLe DISC, 25/paCk",45.98
46,ca-2017-118255,11/03/2017,13/03/2017,First cLass,oN-18715,ODELLA nElSOn,CORpOrAte,UniTeD states,eagAN,MinneSoTa,55122.0,CeNTraL,OFF-Bi-10003291,ofFiCe sUpplIES,BiNders,WILsON joNeS leatHER-lIKE bINDeRs WiTh DUBLloCk rOunD riNgs,17.46
47,CA-2015-146703,20/10/2015,25/10/2015,SeconD CLASs,po-18865,PAtRiCK o'DOnneLl,cOnsUMER,UNItEd StATEs,WeStLANd,mIChIgAN,48185.0,CENTrAL,OFf-ST-10001713,OFficE SuPPlieS,SToraGe,"GoULD PLAStIcS 9-pOCkEt PAnel BiN, 18-3/8W X 5-1/4D x 20-1/2H, BlaCk",211.96
48,CA-2017-169194,20/06/2017,25/06/2017,sTaNDArD ClASs,Lh-16900,LenA hernaNDEz,CONSumer,UnItED states,dOvER,deLawArE,19901.0,EasT,TeC-aC-10002167,tEchnOLogY,AcCESsOrIES,ImaTIoN 8gb mICro tRaveldrIve usB 2.0 fLaSH DrIvE, 45.0 
49,Ca-2017-169194,20/06/2017,25/06/2017,STaNdARd ClASS,Lh-16900,LenA heRnaNdEz,cONSuMeR,UNITEd STATeS,dovEr,DELAWaRe,19901.0,eAst,TEC-pH-10003988,TeChNolOGy,PHoNES,"lF ELitE 3d dAzzLE dESiGNER HARd CAse cover, LF STYLUS peN AND wiPER FoR aPPlE iphONe 5c mINI lIte", 21.8 
50,CA-2016-115742,18/04/2016,22/04/2016,StaNDard claSS,dp-13000,DaRrEN POWERS,ConSUmeR,uNITed StAtes,New ALbany,iNDiaNa,47150.0,CENTRAL,OFF-bI-10004410,ofFicE suPPlIES,BINdErs,"C-lINE pEel & sTIcK Add-ON fILing pOcKets, 8-3/4 X 5-1/8, 10/pAcK",38.22
51,ca-2016-115742,18/04/2016,22/04/2016,stANdARD cLasS,dp-13000,daRrEn pOweRS,coNsuMeR,unITED StaTes,neW AlBany,InDIaNA,47150.0,cENtRAl,OfF-La-10002762,OFfIce suppLiEs,labels,aVErY 485,75.18
52,ca-2016-115742,18/04/2016,22/04/2016,STanDaRd Class,dP-13000,daRrEN pOwErS,coNsUMeR,unITed StATEs,neW alBaNY,IndIana,47150.0,CentRAL,fUr-fu-10001706,FUrnITUrE,fURNIsHinGS,LonGEr-lIFe SofT whiTE buLbS, 6.16 
53,Ca-2016-115742,18/04/2016,22/04/2016,STANdard ClAss,dP-13000,DARReN POwErS,cONsumeR,unItEd StATeS,nEw alBany,INDIAnA,47150.0,CENTRAl,fuR-cH-10003061,fuRNITurE,ChAiRs,"GlObAL lEatheR tASk cHAiR, BLACK", 89.99 
54,Ca-2017-105816,11/12/2017,17/12/2017,StAnDARD cLASS,jM-15265,jAnET MOliNARi,cORpOraTE,uNITED stAtes,New yoRk CIty,New YorK,10024.0,east,ofF-fA-10000304,oFFIcE supPlies,FAsTenerS,advaNtUs puSh PiNs,15.26
55,CA-2017-105816,11/12/2017,17/12/2017,StaNDArd cLasS,jM-15265,JaNET MoLiNARi,CoRPOrAtE,unIteD StatES,neW YOrk CIty,nEW York,10024.0,EasT,TEC-ph-10002447,tEchNOLOGY,phoneS,at&t Cl83451 4-HanDSet tElEPHONe,1029.95
56,CA-2017-111682,17/06/2017,18/06/2017,FiRST ClAsS,Tb-21055,tED ButtERfielD,consuMER,uNITed StatES,TROy,NeW yOrK,12180.0,eAst,OfF-sT-10000604,OfFiCE supPlIes,stORaGE,hOME/oFfice PErsONal file cArtS, 208.56 
57,ca-2017-111682,17/06/2017,18/06/2017,firST cLass,tb-21055,teD bUttERfiEld,coNSUMEr,uNIted stATES,TrOY,nEW YoRk,12180.0,EasT,oFf-PA-10001569,OffIcE SUPpLIES,PAPer,XerOX 232, 32.4 
58,cA-2017-111682,17/06/2017,18/06/2017,fIrst clAsS,tB-21055,Ted buTTERfIEld,coNsuMEr,UnITEd staTEs,TroY,NEW yOrK,12180.0,eAsT,Fur-cH-10003968,FUrNITurE,chAIRS,noVIMEx TURBo Task ChAIr,319.41
59,ca-2017-111682,17/06/2017,18/06/2017,fIRsT cLAsS,TB-21055,tEd butterfield,cONsUmEr,UniTed StateS,tRoY,NeW YORK,12180.0,eAST,off-PA-10000587,oFfiCe SuPpLIEs,PAPeR,"ARRAY parCHmENt PaPEr, assOrtEd ColORS", 14.56 
60,cA-2017-111682,17/06/2017,18/06/2017,FIrsT Class,tb-21055,tEd ButTeRfIelD,cOnSumER,uNitED StaTEs,troY,nEw yORk,12180.0,EAst,tEc-aC-10002167,tecHNOLoGY,acceSSORiES,iMAtiON 8gb MiCRo trAVelDRiVe usb 2.0 fLash drIVE, 30.0 
61,Ca-2017-111682,17/06/2017,18/06/2017,firST clasS,tb-21055,TED buttERfiEld,CoNsUMeR,UnItEd StATEs,tROY,new yoRk,12180.0,eAST,Off-bI-10001460,OfFIce SUpPLiES,bindERS,PlaStic BiNding COMbS, 48.48 
62,CA-2017-111682,17/06/2017,18/06/2017,fiRst CLasS,tb-21055,TED buTteRfIeLd,cOnSUmEr,UnITEd stATeS,troY,nEw yOrk,12180.0,easT,oFf-aR-10001868,oFfiCE SUPpLies,ArT,PraNg DusTlESS ChALK STicKS,1.68
63,CA-2016-135545,24/11/2016,30/11/2016,StAndArD class,kM-16720,KUNSt mILLer,ConsuMer,UNITEd sTaTes,LOs AngelES,cALIforNiA,90004.0,west,TEc-aC-10004633,TechnOLogy,ACcEsSOrIeS,"VerBatiM 25 gB 6x BLU-RAY sIngLE LaYer REcOrdAbLE DisC, 3/pAck", 13.98 
64,ca-2016-135545,24/11/2016,30/11/2016,STANdarD Class,kM-16720,kunst MiLleR,CONSUMEr,UniTED stAtEs,LOs aNgELES,CaLIFOrNiA,90004.0,WeSt,OFF-bi-10001078,oFFICE SUpPLiEs,BINDerS,"aCCO pReSSteX dATa binDeR wIth SToraGe HOOkS, DARK bLuE, 14 7/8"" x 11""",25.824
65,ca-2016-135545,24/11/2016,30/11/2016,stAndarD CLaSs,km-16720,kunST MillER,CoNsuMeR,united STAtes,LOS aNgelEs,CaLifOrNiA,90004.0,WeST,OfF-Pa-10003892,offiCe SuPPLIEs,pApEr,xERox 1943,146.73
66,ca-2016-135545,24/11/2016,30/11/2016,sTaNDaRD CLAsS,kM-16720,KuNSt miLlEr,COnsuMEr,uNIted STateS,LOs AnGELes,calIFORNia,90004.0,WeST,fuR-FU-10000397,fuRNItURe,FURnisHINGS,luXO EcONOMY swInG ARm LAMP,79.76
67,US-2016-164175,30/04/2016,05/05/2016,STAnDArd CLaSS,ps-18970,pAUL STeVENSOn,HOMe OFficE,unitEd STAtES,CHiCaGO,IllinoIS,60610.0,ceNtRaL,FUR-ch-10001146,fUrnItURE,chaIRs,"glObal VAlue MId-BAcK ManaGer's ChaIr, GraY",213.115
68,ca-2015-106376,05/12/2015,10/12/2015,StANDarD CLASs,bS-11590,BrenDAn SwEEd,CORPoRaTe,uNIted states,GIlbert,ARIzoNa,85234.0,West,Off-Ar-10002671,ofFICe sUPPlIES,art,"Hunt boSToN mODel 1606 High-VOLUme eLectrIc pENcIl SHaRpeNEr, BeIge",1113.024
69,CA-2015-106376,05/12/2015,10/12/2015,stAnDarD CLASs,bS-11590,bREnDaN SWeEd,CorPORAtE,uNITeD STATeS,GIlbErt,ARIZONa,85234.0,WEst,tec-ph-10002726,TeChnologY,pHONEs,NEtTaLK duO VoiP TElEpHONE SeRVicE, 167.968 
70,cA-2017-119823,04/06/2017,06/06/2017,fIrsT cLASS,kd-16270,KaReN dANIELS,cOnSUMer,unitED statES,SPRiNGFieLd,VIrgINiA,22153.0,soUth,OFf-pA-10000482,offIce SUPPlIeS,papeR,"Snap-A-Way bLAcK Print cARbOnLEss rulED sPeED LEtteR, tRiPlicaTE",75.88
71,cA-2017-106075,18/09/2017,23/09/2017,StanDARD ClASs,hm-14980,hENry MaCAlLiSTeR,consUMER,uNIted stateS,new yoRK City,New yoRK,10009.0,eAsT,OFF-bi-10004654,oFFICe SuPPLieS,bInDeRS,aVEry BindIng SYstEm HIdden tab eXEcutIVE sTyLE InDex sEts,4.616
72,cA-2018-114440,14/09/2018,17/09/2018,sECOnD ClAsS,Tb-21520,Tracy BlUmsTEin,CoNsUMeR,unITeD statES,JAckSoN,MichIGaN,49201.0,CEntRAl,Off-PA-10004675,OFFIcE SuppLIEs,PAPEr,"TELePHOne MeSSaGE BooKS WiTh FAx/MOBIle SECTIon, 5 1/2"" x 3 3/16""",19.05
73,Us-2016-134026,26/04/2016,02/05/2016,stanDArd ClAss,Je-15745,Joel EATOn,COnSuMER,unitED sTatES,mEmpHis,tENNESSEE,38109.0,sOuTh,Fur-cH-10000513,FuRNiTUrE,Chairs,hIGH-baCk leAther MANageR'S cHAiR, 831.936 
74,us-2016-134026,26/04/2016,02/05/2016,sTaNdaRD clasS,jE-15745,JoEL EATOn,consUMER,unitED STaTeS,MEMPhIs,TEnNEsSEE,38109.0,sOUTh,fUR-fU-10003708,furniTuRE,FUrNishINGS,"TeNeX TRaDitIONAL ChAIrmats for mEDIum PILe cArpET, STAnDArD LiP, 36"" x 48""", 97.04 
75,us-2016-134026,26/04/2016,02/05/2016,STANdARD cLAsS,jE-15745,joEl eaTon,CoNsumeR,UniTED STaTES,mEmPHis,tenNESSEE,38109.0,sOUtH,OfF-st-10004123,oFficE SUppLieS,StoRAgE,sAFco IndUSTRIal WirE SHelVING SystEM, 72.784 
76,us-2018-118038,09/12/2018,11/12/2018,fIrsT CLasS,kB-16600,KEn bREnNaN,cORPoRate,UnITED sTaTeS,hOuSton,tEXAS,77041.0,CENTral,oFf-BI-10004182,ofFIce supplieS,bINdERS,ECOnomy bINDeRs, 1.248 
77,uS-2018-118038,09/12/2018,11/12/2018,FIRst cLAsS,kb-16600,kEn breNnAn,CORPorAtE,UNIteD staTes,HOUSTON,texAS,77041.0,centRAL,Fur-FU-10000260,FURNiTurE,FURnIshINGS,"6"" cubICLE Wall clOck, BLACK", 9.708 
78,US-2018-118038,09/12/2018,11/12/2018,FIRSt ClaSs,kb-16600,KEN brEnnan,cORporAte,uNItED STATeS,hOuStOn,TExAs,77041.0,CentrAL,Off-sT-10000615,oFfIce SuPplIes,stOrAgE,"SiMPlIfilE PERSoNal fILe, bLaCk GRanite, 15w x 6-15/16D x 11-1/4h",27.24
79,US-2015-147606,26/11/2015,01/12/2015,SeCOnd claSS,JE-15745,JoEl eATOn,cONsUmEr,unIted STatEs,hOuSTOn,TExAS,77070.0,CENtRal,fur-fU-10003194,FUrnituRe,FUrnisHings,"ELdON EXpReSSiOns dEsK ACCESSORY, woOD peNCIL HoLDER, oak", 19.3 
80,Ca-2017-127208,12/06/2017,15/06/2017,fIRSt CLASS,Sc-20770,sTEWART cArmIchAeL,CoRPORATE,uNiTED stAtEs,decATur,Alabama,35601.0,souTh,OFF-aP-10002118,OfFIce SuppLiES,ApplIaNCeS,"1.7 CuBIC fOot cOMPaCt ""CUbe"" oFFiCe rEFRIgeratorS",208.16
81,Ca-2017-127208,12/06/2017,15/06/2017,firST ClASs,SC-20770,StEWArT CarMiChAEL,coRporatE,uNItED STaTEs,DEcatur,alABAma,35601.0,sOUTH,OFf-BI-10002309,ofFIce sUPpliEs,BiNderS,aVERY HEavy-duty ezd  BIndEr WIth LOcKING RingS, 16.74 
82,cA-2015-139451,12/10/2015,16/10/2015,STAnDaRD clAss,DN-13690,DUAnE NOonAN,conSumEr,UniteD StATES,SAN fraNciScO,CAlifOrNIa,94122.0,weST,ofF-aR-10002053,offIce SUppLIES,Art,"premIUm WRITINg PEncILs, SofT, #2 By ceNTRAL associatiOn for THe bliNd",14.9
83,cA-2015-139451,12/10/2015,16/10/2015,StAndArD class,dN-13690,DUANE NOOnan,COnSumER,unITEd statES,sAn fRanCisCo,CaLIFornia,94122.0,WESt,oFf-ST-10002370,oFfiCE SuPpLieS,StoraGE,"soRTfILer mULtIpuRpOSe PErSONaL fIle ORgaNIZeR, BlACK",21.39
84,cA-2016-149734,03/09/2016,08/09/2016,StanDARD cLAsS,Jc-16105,juliE cREiGHTOn,cORpoRatE,UniTEd STATEs,duRHaM,NortH CarOLinA,27707.0,SouTh,OFF-en-10000927,OfFicE SuPplIes,enVElOpEs,jeT-pAK rECYClED PEEL 'N' seaL PAdDeD MAiLeRS, 200.984 
85,US-2018-119662,13/11/2018,16/11/2018,fiRst cLASS,cS-12400,CHRistOpheR SChILd,hOme OfFIcE,uniteD STATEs,chicaGO,iLlinoIS,60623.0,cEnTRAl,OFf-ST-10003656,OFFICe supPliES,StoRAgE,safCo iNdusTriAL wIRe SHElViNG,230.376
86,CA-2018-140088,28/05/2018,30/05/2018,SEcoND cLaSS,pO-18865,pATrICk O'dONNELl,COnsUMEr,UnIted sTAtes,cOLumBIA,sOUtH CArolina,29203.0,SOUTH,fur-CH-10000863,FUrNIturE,CHaIRS,NOvIMex SwivEL FABRiC task cHAIR, 301.96 
